STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1001599999,4/21/1995,61.383,5.867,327,"BRINGELAND, NO",35.9,12,25.6,12,9999.9,0,999.9,0,6.7,12,5.7,12,14,999.9,41,*,26.6,*,99.99, ,999.9,1000
1001599999,4/22/1995,61.383,5.867,327,"BRINGELAND, NO",42.3,7,24,7,9999.9,0,999.9,0,6.9,7,5.7,7,8,999.9,44.6,*,35.6,*,0,I,999.9,0
1001599999,4/23/1995,61.383,5.867,327,"BRINGELAND, NO",53.9,6,34.4,6,9999.9,0,999.9,0,6.2,6,4.7,6,7,999.9,55.4,*,50,*,0,I,999.9,0
1001599999,4/24/1995,61.383,5.867,327,"BRINGELAND, NO",50.2,15,36.6,15,9999.9,0,999.9,0,6.2,15,6.8,15,8.9,999.9,55.4,*,42.8,*,0,I,999.9,0
1001599999,4/25/1995,61.383,5.867,327,"BRINGELAND, NO",43.7,14,36.5,14,9999.9,0,999.9,0,6.3,14,10.4,14,13,999.9,46.4,*,41,*,0,I,999.9,0
1001599999,4/26/1995,61.383,5.867,327,"BRINGELAND, NO",41.4,15,32.7,15,9999.9,0,999.9,0,7,15,6.7,15,12,19,46.4,*,37.4,*,0,I,999.9,0
1001599999,4/27/1995,61.383,5.867,327,"BRINGELAND, NO",38.4,17,22.7,17,9999.9,0,999.9,0,7,17,5.1,17,8.9,999.9,41,*,33.8,*,0,I,999.9,0
1001599999,4/28/1995,61.383,5.867,327,"BRINGELAND, NO",35.8,16,28.8,16,9999.9,0,999.9,0,5.3,16,4,16,9.9,999.9,41,*,32,*,99.99, ,999.9,101000
1001599999,4/29/1995,61.383,5.867,327,"BRINGELAND, NO",33.6,8,23.7,8,9999.9,0,999.9,0,6.2,8,3.6,8,8,999.9,39.2,*,28.4,*,0,I,999.9,0
1001599999,4/30/1995,61.383,5.867,327,"BRINGELAND, NO",40.5,4,15.3,4,9999.9,0,999.9,0,6.2,4,4.2,4,6,999.9,41,*,39.2,*,0,I,999.9,0
1001599999,5/1/1995,61.383,5.867,327,"BRINGELAND, NO",41.6,9,26.6,9,9999.9,0,999.9,0,7,9,9.2,9,15.9,999.9,42.8,*,39.2,*,99.99, ,999.9,10000
1001599999,5/2/1995,61.383,5.867,327,"BRINGELAND, NO",47.5,17,33.3,17,9999.9,0,999.9,0,6.9,17,8.5,17,16.9,22.9,50,*,41,*,0,I,999.9,0
1001599999,5/3/1995,61.383,5.867,327,"BRINGELAND, NO",42,13,42,13,9999.9,0,999.9,0,0.9,13,4.1,13,7,999.9,42.8,*,41,*,99.99, ,999.9,110000
